Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,NeighborhoodSizeMean,NeighborhoodSizeVariance,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchDistancesMean,MatchDistancesVariance,MatchingTime(ms))
FAST,FREAK,8,4996,396,3.500,12.250,2.303,34.576,MAT_BF,SEL_KNN,253,20.429,684.573,0.953
FAST,FREAK,9,4997,401,3.500,12.250,2.302,34.415,MAT_BF,SEL_KNN,247,20.032,604.254,0.989

Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,NeighborhoodSizeMean,NeighborhoodSizeVariance,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchDistancesMean,MatchDistancesVariance,MatchingTime(ms))
FAST,SIFT,0,5063,419,3.500,12.250,2.352,14.512,MAT_BF,SEL_KNN,0,0.000,0.000,0.000
FAST,SIFT,1,4952,427,3.500,12.250,2.390,14.800,MAT_BF,SEL_KNN,316,28.309,1699.627,1.559
FAST,SIFT,2,4863,404,3.500,12.250,2.159,14.139,MAT_BF,SEL_KNN,325,32.523,2414.958,1.412
FAST,SIFT,3,4840,423,3.500,12.250,2.266,14.699,MAT_BF,SEL_KNN,297,30.004,1893.824,1.432
FAST,SIFT,4,4856,386,3.500,12.250,2.064,13.610,MAT_BF,SEL_KNN,311,31.566,2187.655,1.419
FAST,SIFT,5,4899,414,3.500,12.250,2.342,13.816,MAT_BF,SEL_KNN,291,30.052,2016.720,1.265
FAST,SIFT,6,4870,418,3.500,12.250,2.293,14.944,MAT_BF,SEL_KNN,326,28.651,1704.477,1.374
FAST,SIFT,7,4868,406,3.500,12.250,2.297,13.753,MAT_BF,SEL_KNN,315,27.661,1685.091,1.307
FAST,SIFT,8,4996,396,3.500,12.250,2.292,13.284,MAT_BF,SEL_KNN,300,29.950,1963.466,1.474
FAST,SIFT,9,4997,401,3.500,12.250,2.184,13.069,MAT_BF,SEL_KNN,301,30.641,2062.026,1.430

Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,NeighborhoodSizeMean,NeighborhoodSizeVariance,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchDistancesMean,MatchDistancesVariance,MatchingTime(ms))
BRISK,BRISK,0,2757,264,10.775,218.531,30.498,2.077,MAT_BF,SEL_KNN,0,0.000,0.000,0.000
BRISK,BRISK,1,2777,282,10.893,220.895,30.036,2.305,MAT_BF,SEL_KNN,171,24.351,952.450,0.709
BRISK,BRISK,2,2741,282,10.825,208.590,28.793,2.110,MAT_BF,SEL_KNN,176,23.639,946.026,0.483
BRISK,BRISK,3,2735,277,10.179,179.501,28.359,2.099,MAT_BF,SEL_KNN,157,25.484,1023.046,0.718
BRISK,BRISK,4,2757,297,11.296,234.552,28.758,2.313,MAT_BF,SEL_KNN,176,26.142,1100.747,0.730
BRISK,BRISK,5,2695,279,11.472,253.216,28.780,2.493,MAT_BF,SEL_KNN,174,29.126,1269.260,0.617
BRISK,BRISK,6,2715,289,10.901,223.183,28.656,2.443,MAT_BF,SEL_KNN,188,23.066,907.041,0.622
BRISK,BRISK,7,2628,272,11.074,232.176,29.577,2.252,MAT_BF,SEL_KNN,173,25.396,1150.910,0.521
BRISK,BRISK,8,2639,266,11.278,238.516,28.421,2.115,MAT_BF,SEL_KNN,171,23.310,946.348,0.560
BRISK,BRISK,9,2672,254,11.019,224.861,28.815,2.080,MAT_BF,SEL_KNN,184,24.758,1021.656,0.461

Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,NeighborhoodSizeMean,NeighborhoodSizeVariance,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchDistancesMean,MatchDistancesVariance,MatchingTime(ms))
BRISK,BRIEF,0,2757,264,10.775,218.531,27.613,1.012,MAT_BF,SEL_KNN,0,0.000,0.000,0.000
BRISK,BRIEF,1,2777,282,10.893,220.895,29.574,1.162,MAT_BF,SEL_KNN,178,6.329,83.198,0.594
BRISK,BRIEF,2,2741,282,10.825,208.590,29.192,1.063,MAT_BF,SEL_KNN,205,5.441,59.910,0.604
BRISK,BRIEF,3,2735,277,10.179,179.501,27.927,1.028,MAT_BF,SEL_KNN,185,6.976,91.597,0.618
BRISK,BRIEF,4,2757,297,11.296,234.552,29.109,1.057,MAT_BF,SEL_KNN,179,5.324,57.588,0.625
BRISK,BRIEF,5,2695,279,11.472,253.216,29.000,1.044,MAT_BF,SEL_KNN,183,6.579,81.348,0.582
BRISK,BRIEF,6,2715,289,10.901,223.183,30.019,1.601,MAT_BF,SEL_KNN,195,5.285,52.440,0.657
BRISK,BRIEF,7,2628,272,11.074,232.176,28.107,0.836,MAT_BF,SEL_KNN,207,5.758,73.391,0.593
BRISK,BRIEF,8,2639,266,11.278,238.516,28.937,0.779,MAT_BF,SEL_KNN,189,5.595,70.606,0.527
BRISK,BRIEF,9,2672,254,11.019,224.861,28.921,1.038,MAT_BF,SEL_KNN,183,6.268,99.792,0.763

Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,NeighborhoodSizeMean,NeighborhoodSizeVariance,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchDistancesMean,MatchDistancesVariance,MatchingTime(ms))
BRISK,ORB,0,2757,264,10.775,218.531,29.085,4.893,MAT_BF,SEL_KNN,0,0.000,0.000,0.000
BRISK,ORB,1,2777,282,10.893,220.895,31.437,3.647,MAT_BF,SEL_KNN,162,13.142,261.165,0.526
BRISK,ORB,2,2741,282,10.825,208.590,29.366,4.706,MAT_BF,SEL_KNN,175,13.514,276.376,0.751
